First Name,Last Name,Profile URL,Image URL,Profession,Location,Company,Education
Robert,Frank,https://www.linkedin.com/in/robertfrank-cnbc?trk=people-guest_people_search-card,https://media.licdn.com/dms/image/v2/D4E03AQGGZVhywrno2Q/profile-displayphoto-shrink_200_200/profile-displayphoto-shrink_200_200/0/1722017388038?e=2147483647&v=beta&t=4AEAVBlfLMIoxy75yrh0aBYe1K_WgVREZsEraSSg430,"CNBC Wealth Editor, Inside Wealth newsletter, bestselling author of ""Richistan.""","New York, NY","CNBC, +2 more",
Robert,Sterling,https://www.linkedin.com/in/robertmsterling?trk=people-guest_people_search-card,https://media.licdn.com/dms/image/v2/D5603AQHyaHuh5LXtiw/profile-displayphoto-shrink_200_200/profile-displayphoto-shrink_200_200/0/1701318819031?e=2147483647&v=beta&t=KCVMaQ9C_4FJboBQC_UYsRKCAUuW4zt6-tPrvTTRkfQ,M&A and Strategy Advisor | Investor | CFO | Executive Coach | Former Koch and Cargill Corpdev,"San Diego, CA","EV Partners, +20 more",Pepperdine University
Robert M.,Bakish,https://www.linkedin.com/in/bobbakish?trk=people-guest_people_search-card,https://media.licdn.com/dms/image/v2/C5603AQHLJqmHD58k5w/profile-displayphoto-shrink_200_200/profile-displayphoto-shrink_200_200/0/1657229929413?e=2147483647&v=beta&t=Tu9IteZ0y5qqZVZUaxPnXmPnQYkRa2MsVgNa9cLT6wU,Former President and CEO at Paramount,"New York, NY","Paramount, +4 more",Columbia University - Columbia Business School
Robert,Reffkin,https://www.linkedin.com/in/robertreffkin?trk=people-guest_people_search-card,https://static.licdn.com/aero-v1/sc/h/1c5u578iilxfi4m4dvc4q810q,,"New York, NY","Compass /, +4 more",
Robert,Little,https://www.linkedin.com/in/robertjameslittle?trk=people-guest_people_search-card,https://static.licdn.com/aero-v1/sc/h/1c5u578iilxfi4m4dvc4q810q,,"Sunnyvale, CA","Google, +9 more",
Robert,Livingston,https://www.linkedin.com/in/robertwlivingston?trk=people-guest_people_search-card,https://static.licdn.com/aero-v1/sc/h/1c5u578iilxfi4m4dvc4q810q,"Harvard social psychologist and author of ""The Conversation: How Seeking and Speaking the Truth About Racism Can Radically Transform Individuals and Organizations""",Greater Boston,"Harvard University, +3 more",The Ohio State University
Robert,Opp,https://www.linkedin.com/in/robertopp?trk=people-guest_people_search-card,https://static.licdn.com/aero-v1/sc/h/1c5u578iilxfi4m4dvc4q810q,"Chief Digital Officer; Pursuing responsible, inclusive and equitable use of technology in 170 countries worldwide; former Global Director of Innovation@WFP; Former BCG","New York, NY","UNDP, +3 more",
"Robert Pearl,",M.D.,https://www.linkedin.com/in/robert-pearl-md?trk=people-guest_people_search-card,https://static.licdn.com/aero-v1/sc/h/1c5u578iilxfi4m4dvc4q810q,"Author of ""ChatGPT, MD"" | Forbes Healthcare Contributor | Stanford Faculty | Podcast Host | Former CEO of Permanente Medical Group (Kaiser Permanente)",San Francisco Bay Area,"Forbes, +4 more",Stanford University School of Medicine
Robert,Enslin,https://www.linkedin.com/in/robert-enslin-b8936b185?trk=people-guest_people_search-card,https://static.licdn.com/aero-v1/sc/h/1c5u578iilxfi4m4dvc4q810q,,United States,"Workday, +3 more",
Robert,Jones,https://www.linkedin.com/in/robert-jones-b4542a2?trk=people-guest_people_search-card,https://static.licdn.com/aero-v1/sc/h/1c5u578iilxfi4m4dvc4q810q,"Executive Vice President, Global Sales & Customer Success","Livonia, MI","Siemens Digital Industries Software, +1 more",
